title,company,salary,location
,Orca AG, 30539  - 41991 ,
,People Trust Sp. z o.o., 20000  - 27000 ,
,PGS Software S.A., 15000  - 30000 ,
,Knowit Poland Sp. z o.o., 6000  - 11000 ,
,Green Minds Sp.z o.o., 21840  - 25200 ,
,ProService Finteco Sp. z o.o., 12800  - 18000 ,
,Solwit SA, 14000  - 18000 ,
,Solwit, 16000  - 22000 ,
,Ringier Axel Springer Tech, 12700  - 21100 ,
,Allegro, 12500  - 17000 ,
,Pointpack, 13000  - 19000 ,
,Link Group, 17000  - 19000 ,
,Green Minds Sp.z o.o., 23520  - 28560 ,
,CEPD.TECH, 8000  - 11000 ,
,Knowde, 24000  - 40000 ,
,SimeoIT sp. z o.o., 14000  - 20000 ,
,ALM Services Technology Group, 14000  - 25500 ,
,Netguru, 16000  - 25000 ,
,Citi Service Center, 14300  - 28600 ,
,ALM Services Technology Group, 17000  - 25000 ,
